"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2875","RT @cynocephale: Who doesn't like the fresh smell of #creationism in #science journals? https://t.co/8DLfXdkRXu #PLOSONE #evolution https:/…",FALSE,0,NA,2016-03-03 06:39:04,FALSE,NA,"705281317055950848",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","_BenBao_",8,TRUE,FALSE,NA,NA
"2876","Link to the article of shame. #PLOSONE  #Creationism  https://t.co/oDxrq0Q1y8",FALSE,0,NA,2016-03-03 06:37:46,FALSE,NA,"705280992366325760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hemaghati",0,FALSE,FALSE,NA,NA
"2877","RT @tiagopeixoto: Creationist paper in @PLOSONE. Sloppy and shameful. Nonexistent peer review and editing... https://t.co/cvr3eiBGyI",FALSE,0,NA,2016-03-03 06:37:40,FALSE,NA,"705280967863361536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vtraag",10,TRUE,FALSE,NA,NA
"2878","RT @tiagopeixoto: Creationist paper in @PLOSONE. Sloppy and shameful. Nonexistent peer review and editing... https://t.co/cvr3eiBGyI",FALSE,0,NA,2016-03-03 06:36:23,FALSE,NA,"705280643203100672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimlabFlyroom",10,TRUE,FALSE,NA,NA
"2879","RT @tiagopeixoto: Creationist paper in @PLOSONE. Sloppy and shameful. Nonexistent peer review and editing... https://t.co/cvr3eiBGyI",FALSE,0,NA,2016-03-03 06:35:59,FALSE,NA,"705280542418169856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lshlj",10,TRUE,FALSE,NA,NA
"2880","""Confirming that the mechanical architecture of the hand is the proper design by the Creator""?#PLOSONE have you read what you published?",FALSE,0,NA,2016-03-03 06:35:06,FALSE,NA,"705280319713202176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hemaghati",0,FALSE,FALSE,NA,NA
"2881","It's all hitting the fan over at #PLOSONE: ""Statements in scientific papers must be supported by evidence"" https://t.co/wqUV8ibRqq",FALSE,0,NA,2016-03-03 06:33:51,FALSE,NA,"705280007728455680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Christakou",0,FALSE,FALSE,NA,NA
"2882","RT @c_althaus: Embarrassing lack of editorial oversight at @PLOSONE. Are cases like this inevitable for megajournals?  https://t.co/6LoQ5ZF…",FALSE,0,NA,2016-03-03 06:33:36,FALSE,NA,"705279943979233281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiGuR0",2,TRUE,FALSE,NA,NA
"2883","Creationist paper in @PLOSONE. Sloppy and shameful. Nonexistent peer review and editing... https://t.co/cvr3eiBGyI",FALSE,12,NA,2016-03-03 06:33:24,FALSE,NA,"705279892036952064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tiagopeixoto",10,FALSE,FALSE,NA,NA
"2884","@kessler_lab @PLOSONE @PLOS No. This issue is not about open access. It is about oversight and choice of associate editors I assume.",FALSE,1,"kessler_lab",2016-03-03 06:28:53,FALSE,"705261725713563648","705278757276266496","695681953857724416","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rhskraus",0,FALSE,FALSE,NA,NA
"2885","RT @abc_salud: El humo de tercera mano, más perjudicial para los niños y los mayores https://t.co/Ac6oFRLD5b @PLOSOne https://t.co/5FGuGgbO…",FALSE,0,NA,2016-03-03 06:28:20,FALSE,NA,"705278618616909824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lopezsanza",2,TRUE,FALSE,NA,NA
"2886","RT @CT_Bergstrom: Q: Why is @PLOSOne like English goalkeeper Peter Shilton?

A: Neither blocked the #HandOfGod https://t.co/UuubfuDi1N",FALSE,0,NA,2016-03-03 06:26:22,FALSE,NA,"705278121826787328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VolkerNehring",49,TRUE,FALSE,NA,NA
"2887","RT @nicolamlow: @c_althaus @PLOSONE @NPRougier @PLOS #omg (literally) but not the first time for insurgent creationism https://t.co/YZVQIDa…",FALSE,0,NA,2016-03-03 06:25:27,FALSE,NA,"705277891190378496",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","NPRougier",1,TRUE,FALSE,NA,NA
"2888","RT @TomHoltzPaleo: #PLOSONE: Forelimb Kinematics of Rats Using XROMM, with Implications for Small Eutherians and Their Fossil Re ... https:…",FALSE,0,NA,2016-03-03 06:19:22,FALSE,NA,"705276359589892096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","argcPALEO",2,TRUE,FALSE,NA,NA
"2889","@Lienka8 @PLOSONE increíble! Jajajajaja",FALSE,0,"Lienka8",2016-03-03 06:11:57,FALSE,"705229557196959744","705274494970044417","51505808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HobbesMs",0,FALSE,FALSE,NA,NA
