"","source","hour","mean"
"345","#HandOfGod","2016-03-13 17:00:00",3
"346","#HandOfGod","2016-03-13 19:00:00",0
"347","#HandOfGod","2016-03-13 20:00:00",0.4
"348","#HandOfGod","2016-03-13 21:00:00",0
"349","#HandOfGod","2016-03-13 22:00:00",3.125
"350","#HandOfGod","2016-03-14 00:00:00",0.4
"351","#HandOfGod","2016-03-14 02:00:00",0
"352","#HandOfGod","2016-03-14 03:00:00",0.666666666666667
"353","#HandOfGod","2016-03-14 04:00:00",4
"354","#HandOfGod","2016-03-14 05:00:00",0
"355","#HandOfGod","2016-03-14 06:00:00",0
"356","#HandOfGod","2016-03-14 09:00:00",-1
"357","#HandOfGod","2016-03-14 11:00:00",0
"358","#HandOfGod","2016-03-14 12:00:00",0
"359","#HandOfGod","2016-03-14 14:00:00",0
"360","#HandOfGod","2016-03-14 15:00:00",0
"361","#HandOfGod","2016-03-14 16:00:00",0.666666666666667
"362","#HandOfGod","2016-03-14 17:00:00",0.666666666666667
"363","#HandOfGod","2016-03-14 18:00:00",1
"364","#HandOfGod","2016-03-14 19:00:00",0
"365","#HandOfGod","2016-03-14 20:00:00",1
"366","#HandOfGod","2016-03-15 00:00:00",0
"367","#HandOfGod","2016-03-15 03:00:00",1
"368","#HandOfGod","2016-03-15 04:00:00",1
"369","#HandOfGod","2016-03-15 06:00:00",2
"370","#HandOfGod","2016-03-15 08:00:00",0
"371","#HandOfGod","2016-03-15 11:00:00",2
"372","#HandOfGod","2016-03-15 14:00:00",-0.5
"373","#HandOfGod","2016-03-15 15:00:00",0
"374","#HandOfGod","2016-03-15 19:00:00",0
"375","#HandOfGod","2016-03-15 20:00:00",0
"376","#HandOfGod","2016-03-15 22:00:00",0
"377","#HandOfGod","2016-03-16 01:00:00",0
"378","#HandOfGod","2016-03-16 04:00:00",2.5
"379","#HandOfGod","2016-03-16 05:00:00",-0.666666666666667
"380","#HandOfGod","2016-03-16 06:00:00",0.5
"381","#HandOfGod","2016-03-16 07:00:00",0
